Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
Yaris,Jeddah,Toyota,Automatic,Saudi,Semi Full,1.2,82000,34000,5,False,False,11.314486721293981
ML,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,5.5,140000,120000,9,False,False,11.849404844423074
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2.0,237000,42000,5,False,False,12.37581963951765
Hilux,Dammam,Toyota,Manual,Saudi,Full,2.7,400,32000,13,False,False,5.993961427306569
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2.5,174436,35000,7,False,False,12.069318923918425
S,Dammam,Mercedes,Automatic,Saudi,Semi Full,3.0,70000,290000,6,False,False,11.156264806643742
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,1.6,30799,45000,3,False,False,10.335269968961667
Victoria,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,4.6,3666,16000,14,False,False,8.207129168071326
H1,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2.4,154000,54000,6,False,False,11.944714374881176
6,Riyadh,Mazda,Automatic,Saudi,Semi Full,2.0,250000,31000,8,False,False,12.429220196836383
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,1.6,103358,48500,3,False,False,11.545963644047026
Prado,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,4.0,80000,142000,4,False,False,11.289794413577894
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,1.6,20939,57500,2,False,False,9.949416484424528
ES,Dammam,Lexus,Automatic,Other,Full,3.5,50000,126000,6,False,False,10.819798284210286
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2.5,221000,30000,10,False,False,12.30592250537653
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,3.5,75000,125000,5,False,False,11.225256725762893
The 7,Dammam,BMW,Automatic,Saudi,Full,2.0,134000,150000,6,False,False,11.80560254159177
Accent,Jeddah,Hyundai,Automatic,Saudi,Full,1.6,140000,30000,5,False,False,11.849404844423074
Mustang,Riyadh,Ford,Automatic,Other,Full,2.3,52000,139000,3,False,False,10.859018228147887
Yukon,Tabouk,GMC,Automatic,Saudi,Standard,5.3,235000,67000,10,False,False,12.367345048436391
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,1.6,147000,24000,6,False,False,11.898194668458823
LF X60,Jeddah,Lifan,Automatic,Saudi,Full,1.6,128000,25000,6,False,False,11.759793355371237
Taurus,Riyadh,Ford,Automatic,Saudi,Full,3.0,197000,58000,7,False,False,12.190964083849375
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,1.5,58244,30000,4,False,False,10.972413530833878
Ciocca,Jubail,Toyota,Automatic,Saudi,Semi Full,5.7,270000,65000,12,False,False,12.506180941677357
The 3,Jeddah,BMW,Automatic,Saudi,Full,2.5,74000,35000,11,False,False,11.211833885608513
S,Dammam,Mercedes,Automatic,Saudi,Standard,3.0,60000,210000,6,False,False,11.002116507732017
Hilux,Aseer,Toyota,Manual,Saudi,Full,2.7,276,57000,7,False,False,5.6240175061873385
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,1.6,230000,69000,19,False,False,12.345838935721968
C,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2.0,99000,91500,7,False,False,11.502885230075814
FJ,Tabouk,Toyota,Automatic,Saudi,Full,4.0,148,98000,6,False,False,5.003946305945459
Hilux,Aseer,Toyota,Manual,Saudi,Full,2.7,48000,90000,4,False,False,10.778977123006351
Rav4,Jeddah,Toyota,Automatic,Saudi,Semi Full,2.4,190000,60000,5,False,False,12.154784614286667
Marquis,Riyadh,Ford,Automatic,Other,Full,4.6,171000,27000,14,False,False,12.049424683420915
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,1.4,111,22000,6,False,False,4.718498871295094
Tucson,Dammam,Hyundai,Automatic,Saudi,Standard,1.6,146000,75000,4,False,False,11.891368749982085
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,5.7,124000,250000,2,False,False,11.728044909070785
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,1.5,105499,25000,4,False,False,11.566466231898259
Impala,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,3.5,152000,70000,6,False,False,11.931642378754141
A3,Riyadh,Audi,Automatic,Saudi,Semi Full,1.4,70278,69500,6,False,False,11.160228313400713
Aurion,Riyadh,Toyota,Automatic,Saudi,Full,3.5,373000,33500,13,False,False,12.829336379587506
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2.7,94458,91500,4,False,False,11.455921156902434
Victoria,Riyadh,Ford,Automatic,Saudi,Standard,4.6,21000,13000,14,False,False,9.952325334619427
Sierra,Dammam,GMC,Automatic,Saudi,Standard,5.3,300000,45000,9,False,False,12.611541086966115
Furniture,Qassim,Toyota,Automatic,Saudi,Semi Full,2.4,29000,145000,1,False,False,10.275085591132715
Spark,Riyadh,Chevrolet,Automatic,Saudi,Standard,1.4,16000,27000,2,False,False,9.680406499268875
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,3.5,43418,115000,3,False,False,10.678652412305714
Azera,Dammam,Hyundai,Automatic,Saudi,Semi Full,3.5,44271,95000,3,False,False,10.698107702026707
C,Dammam,Mercedes,Automatic,Saudi,Full,2.0,40000,210000,3,False,False,10.596659732783579
CX5,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2.5,110000,41000,8,False,False,11.608244735642321
Fluence,Riyadh,Renault,Automatic,Saudi,Standard,1.6,121913,29000,7,False,False,11.711071157111068
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2.4,173544,37000,7,False,False,12.064192210733742
Accent,Taef,Hyundai,Automatic,Saudi,Full,1.6,324000,20000,8,False,False,12.688501881189456
5,Riyadh,MG,Automatic,Saudi,Full,1.5,23000,44000,2,False,False,10.043292972227004
Yukon,Jeddah,GMC,Automatic,Saudi,Standard,5.3,4000,1000,1,False,False,8.294299608857235
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,3.2,43000,236000,3,False,False,10.668978650219241
Datsun,Jazan,Nissan,Manual,Saudi,Full,2.4,147000,45000,7,False,False,11.898194668458823
Camry,Riyadh,Toyota,Manual,Saudi,Standard,2.5,192000,20000,15,False,False,12.165255859329688
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,5.3,188000,53000,11,False,False,12.144202560946876
Furniture,Dammam,Toyota,Automatic,Saudi,Full,4.0,26000,52000,7,False,False,10.165890277802454
Sierra,Riyadh,GMC,Automatic,Other,Standard,5.3,145000,87500,7,False,False,11.884495917930655
Explorer,Khobar,Ford,Automatic,Saudi,Standard,4.0,300000,7000,17,False,False,12.611541086966115
Marquis,Riyadh,Ford,Automatic,Other,Full,9.0,115,17000,14,False,True,4.7535901911063645
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,6.3,211000,40000,13,False,False,12.259618151783465
Hilux,Al-Ahsa,Toyota,Automatic,Saudi,Full,2.7,90000,79000,6,False,False,11.407576060361786
Avanza,Riyadh,Toyota,Automatic,Saudi,Semi Full,1.6,41000,45000,4,False,False,10.62135173563291
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,4.6,52000,248000,3,False,False,10.859018228147887
Koleos,Riyadh,Renault,Automatic,Saudi,Full,2.5,103503,64000,5,False,False,11.547365538283767
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,3.5,81000,72000,5,False,False,11.302216779257382
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2.4,130000,80000,4,False,False,11.775297421715827
Prado,Aseer,Toyota,Automatic,Saudi,Semi Full,4.0,160000,105000,7,False,False,11.982935344196433
Avalon,Riyadh,Toyota,Automatic,Saudi,Semi Full,3.5,6500,140000,1,False,False,8.77971129020447
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,3.8,146000,63000,6,False,False,11.891368749982085
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,4.5,315000,63000,15,False,False,12.660331092405906
Suburban,Riyadh,GMC,Automatic,Gulf Arabic,Standard,5.3,98000,140000,6,False,False,11.49273296168228
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2.7,87000,70000,4,False,False,11.373674891823535
Hilux,Jeddah,Toyota,Automatic,Saudi,Full,2.8,97000,91000,6,False,False,11.48247656671073
Marquis,Riyadh,Ford,Automatic,Other,Semi Full,4.6,300000,22000,11,False,False,12.611541086966115
Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2.7,328000,65000,7,False,False,12.700771936142122
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2.4,106000,66000,6,False,False,11.571203807011969
Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,3.3,149000,47000,6,False,False,11.91170829631447
Odyssey,Riyadh,Honda,Automatic,Saudi,Semi Full,3.5,185000,52000,6,False,False,12.128116509451258
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2.7,260000,65000,12,False,False,12.468440756144114
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,3.5,137000,55000,6,False,False,11.827743504053695
Corolla,Jeddah,Toyota,Manual,Saudi,Standard,1.5,318800,18000,12,False,False,12.672322362656137
F150,Dammam,Ford,Automatic,Saudi,Standard,5.0,133000,33000,11,False,False,11.798111925972618
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,3.5,246398,85000,7,False,False,12.414707452191708
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,5.7,125000,245000,4,False,False,11.736077016252437
Senta fe,Al-Ahsa,Hyundai,Automatic,Saudi,Full,3.3,157000,69000,6,False,False,11.964007453736912
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,1.4,19717,41500,2,False,False,9.889287203134987
ES,Hail,Lexus,Automatic,Gulf Arabic,Semi Full,3.5,161000,74000,7,False,False,11.989165855127435
Tucson,Jeddah,Hyundai,Automatic,Other,Semi Full,2.4,119800,57000,6,False,False,11.693587311874056
ES,Al-Ahsa,Lexus,Automatic,Gulf Arabic,Full,3.5,99000,129000,5,False,False,11.502885230075814
Yaris,Makkah,Toyota,Automatic,Saudi,Standard,1.3,100000,27000,5,False,False,11.51293546492023
Senta fe,Al-Namas,Hyundai,Automatic,Saudi,Semi Full,2.4,126000,42000,10,False,False,11.744045122410057
Sierra,Riyadh,GMC,Automatic,Gulf Arabic,Full,5.3,32000,158000,2,False,False,10.373522431293592
FJ,Riyadh,Toyota,Automatic,Saudi,Full,4.0,184000,100000,6,False,False,12.122696471358964
Datsun,Tabouk,Nissan,Manual,Saudi,Full,1.1,215267,31000,7,False,False,12.27963904248709
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,1.6,97000,38500,5,False,False,11.48247656671073
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2.7,220424,62000,6,False,False,12.303312779955228
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2.4,140000,55000,7,False,False,11.849404844423074
Abeka,Taef,Chevrolet,Automatic,Saudi,Full,1.8,260,14000,14,False,False,5.564520407322694
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,1.0,600000,36000,11,False,False,13.304686600863562
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2.7,134007,70000,5,False,False,11.805654778643522
GS,Dammam,MG,Automatic,Saudi,Full,1.5,139000,42000,6,False,False,11.842236406331555
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2.5,40000,59000,5,False,False,10.596659732783579
Navara,Riyadh,Nissan,Automatic,Saudi,Semi Full,2.5,178754,45000,8,False,False,12.093771432193016
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,1.4,97300,31000,4,False,False,11.485564545613576
C300,Riyadh,Chrysler,Automatic,Saudi,Full,5.7,45000,145000,3,False,False,10.714439990727769
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,4.0,56000,150000,4,False,False,10.933124826700707
LX,Riyadh,Lexus,Automatic,Saudi,Full,5.7,1700,498000,1,False,False,7.438971592395862
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2.7,275916,67000,4,False,False,12.527855374834884
Navara,Jeddah,Nissan,Manual,Saudi,Full,2.5,83000,45000,7,False,False,11.326607934898927
IS,Jeddah,Lexus,Automatic,Saudi,Full,3.5,400000,50000,17,False,False,12.899222326086994
6,Dammam,Mazda,Automatic,Saudi,Standard,2.5,267000,50000,6,False,False,12.495007682693725
Ciocca,Al-Medina,Toyota,Automatic,Saudi,Standard,5.7,114000,89000,9,False,False,11.643962499267984
Furniture,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2.4,120000,92000,6,False,False,11.695255355062795
Other,Jeddah,Other,Manual,Other,Semi Full,1.2,3000,5500,1,False,False,8.006700845440367
Expedition,Al-Ahsa,Ford,Manual,Saudi,Full,4.8,304,38000,10,False,False,5.720311776607412
Sierra,Khobar,GMC,Automatic,Saudi,Full,5.3,2000,190000,1,False,False,7.601402334583733
Land Cruiser Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,4.0,243038,93500,6,False,False,12.40097720327209
Accord,Jeddah,Honda,Automatic,Gulf Arabic,Full,2.4,300000,11000,17,False,False,12.611541086966115
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,1.6,106787,48500,3,False,False,11.578600839644862
Azera,Makkah,Hyundai,Automatic,Saudi,Full,3.5,25000,2690,1,False,False,10.12667110305036
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2.5,130000,55000,6,False,False,11.775297421715827
Grand Marquis,Riyadh,Mercury,Automatic,Other,Full,4.6,570000,24000,15,False,False,13.25339339419516
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,3.8,75000,110000,4,False,False,11.225256725762893
Rav4,Makkah,Toyota,Automatic,Saudi,Full,1.8,63000,90000,4,False,False,11.050905878263567
Sonata,Aseer,Hyundai,Automatic,Saudi,Full,2.4,230000,45000,6,False,False,12.345838935721968
Accord,Dammam,Honda,Automatic,Gulf Arabic,Full,1.5,81000,95000,3,False,False,11.302216779257382
Furniture,Riyadh,Toyota,Manual,Saudi,Semi Full,4.0,70346,80500,7,False,False,11.161195417710017
The 5,Jeddah,BMW,Automatic,Saudi,Semi Full,2.0,29900,150000,3,False,False,10.305647203635566
Corolla,Al-Medina,Toyota,Automatic,Saudi,Standard,1.6,186000,27000,9,False,False,12.133507329024972
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2.7,5000,153000,2,False,False,8.517393171418904
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,1.5,77000,28500,3,False,False,11.251573687764477
Camry,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2.4,140000,45000,7,False,False,11.849404844423074
CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,3.0,230000,50000,6,False,False,12.345838935721968
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,5.6,50000,150000,6,False,False,10.819798284210286
Flying Spur,Dammam,Bentley,Automatic,Saudi,Full,5.0,58000,175000,12,False,False,10.968215530759236
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,1.6,83000,45000,4,False,False,11.326607934898927
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2.5,277000,48000,7,False,False,12.531776395271262
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,5.7,119000,180000,7,False,False,11.686887175419702
Prado,Dammam,Toyota,Automatic,Saudi,Standard,2.7,250000,78000,7,False,False,12.429220196836383
Camry,Taef,Toyota,Automatic,Saudi,Standard,2.5,10000,1519,1,False,False,9.210440366976517
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,5.3,250000,70000,9,False,False,12.429220196836383
C,Dammam,Mercedes,Automatic,Other,Full,2.0,15000,175000,3,False,False,9.61587214452889
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2.7,105558,76500,4,False,False,11.567025317287053
Pilot,Riyadh,Honda,Automatic,Gulf Arabic,Full,3.5,98000,75000,7,False,False,11.49273296168228
L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2.5,103000,30000,7,False,False,11.542493975902508
Charger,Dammam,Dodge,Automatic,Other,Full,3.6,101000,95000,6,False,False,11.522885696764481
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,1.5,42628,38500,3,False,False,10.660290051825195
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,3.6,209500,56000,8,False,False,12.252483791602627
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,1.6,172600,35000,6,False,False,12.058737851357439
Ranger,Aseer,Ford,Manual,Saudi,Full,3.2,145000,65000,7,False,False,11.884495917930655
FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,1.6,74658,135000,5,False,False,11.220686358325834
Sierra,Riyadh,GMC,Automatic,Saudi,Full,5.3,86500,98000,7,False,False,11.367911253546788
Escalade,Dammam,Cadillac,Automatic,Other,Full,6.2,119000,178000,6,False,False,11.686887175419702
Patrol,Dammam,Nissan,Automatic,Saudi,Full,4.0,340000,35000,17,False,False,12.73670383776449
CX5,Jeddah,Mazda,Automatic,Saudi,Full,2.0,26000,112000,2,False,False,10.165890277802454
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,4.0,20406,132000,2,False,False,9.923633258229085
A7,Makkah,Audi,Automatic,Saudi,Full,2.0,127000,135000,5,False,False,11.751950239425476
Altima,Qassim,Nissan,Automatic,Gulf Arabic,Full,2.5,119500,47000,7,False,False,11.691080018519527
X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2.5,115000,50000,6,False,False,11.652696102959753
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,4.0,20000,130000,2,False,False,9.90353755128617
Cadenza,Makkah,Kia,Automatic,Gulf Arabic,Full,3.3,334624,27500,11,False,False,12.720765780822653
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,3.0,71500,265000,7,False,False,11.177466714598282
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,5.3,150000,65000,9,False,False,11.918397239722838
Accord,Riyadh,Honda,Automatic,Saudi,Standard,1.5,129000,68000,4,False,False,11.767575435251748
X,Dammam,BMW,Automatic,Gulf Arabic,Semi Full,3.0,71000,170000,5,False,False,11.170449240431308
Avalon,Riyadh,Toyota,Automatic,Saudi,Semi Full,3.5,167,51000,7,False,False,5.123963979403259
S,Qassim,Mercedes,Automatic,Saudi,Full,3.5,53700,320000,4,False,False,10.891186902297498
F150,Qassim,Ford,Automatic,Gulf Arabic,Full,5.0,59790,135000,4,False,False,10.998610426939969
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,6.0,35481,106500,8,False,False,10.476780804620594
Charger,Dammam,Dodge,Automatic,Other,Full,5.7,119000,105000,7,False,False,11.686887175419702
Quattroporte,Dammam,Maserati,Automatic,Gulf Arabic,Full,3.8,115000,125000,8,False,False,11.652696102959753
Edge,Jeddah,Ford,Automatic,Saudi,Full,3.6,99000,1500,8,False,False,11.502885230075814
Malibu,Abha,Chevrolet,Automatic,Saudi,Semi Full,2.4,233000,20000,9,False,False,12.358798024384122
Other,Jeddah,Honda,Manual,Saudi,Standard,1.0,4200,6500,11,False,False,8.343077871169383
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2.7,37000,107000,3,False,False,10.518700218288165
Range Rover,Jeddah,Land Rover,Automatic,Gulf Arabic,Full,3.5,122000,176000,6,False,False,11.711784520403112
Yaris,Al-Ahsa,Toyota,Automatic,Saudi,Standard,1.5,36000,43000,3,False,False,10.491301994830229
FJ,Dammam,Toyota,Automatic,Gulf Arabic,Full,6.0,50000,140000,2,False,False,10.819798284210286
Hilux,Aseer,Toyota,Manual,Saudi,Full,2.4,300,15000,27,False,False,5.707110264748875
Cerato,Khobar,Kia,Automatic,Saudi,Standard,1.6,62000,29750,6,False,False,11.034905792929415
ES,Dammam,Lexus,Automatic,Other,Full,3.0,69000,142000,5,False,False,11.141876276228
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,5.7,134000,90000,6,False,False,11.80560254159177
Hilux,Al-Medina,Toyota,Manual,Saudi,Semi Full,2.7,309000,45000,8,False,False,12.6410997921206
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,5.3,287928,58000,10,False,False,12.570469200947338
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2.4,55000,60000,4,False,False,10.915106645867503
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2.7,236000,75000,5,False,False,12.371591321286905
Compass,Riyadh,Jeep,Automatic,Saudi,Semi Full,2.4,43834,66000,3,False,False,10.688187864022686
Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,5.3,45000,18000,19,False,False,10.714439990727769
Dyna,Qassim,Isuzu,Manual,Gulf Arabic,Full,6.0,460000,120000,8,False,False,13.038983942375959
Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2.4,33000,85000,3,False,False,10.404293143019792
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,3.5,38000,375000,3,False,False,10.545367754151743
Ranger,Riyadh,Ford,Manual,Saudi,Full,2.5,168000,24000,11,False,False,12.031725210748633
Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,3.8,131000,74000,6,False,False,11.782960235741939
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2.5,498000,18000,16,False,False,13.118357364036902
Cadenza,Jeddah,Kia,Automatic,Saudi,Standard,3.5,5000,108000,2,False,False,8.517393171418904
Hilux,Wadi Dawasir,Toyota,Automatic,Saudi,Full,2.4,30000,147000,2,False,False,10.308985993422082
Vego,Jeddah,Ford,Automatic,Saudi,Standard,1.5,47856,27500,3,False,False,10.775972676672808
Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,6.0,200000,53000,6,False,False,12.206077645517674
Viano,Al-Medina,Mercedes,Automatic,Saudi,Full,3.5,119000,99000,7,False,False,11.686887175419702
Accord,Jeddah,Honda,Automatic,Other,Full,2.4,205,30000,12,False,False,5.327876168789581
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,3.5,100000,115000,5,False,False,11.51293546492023
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,1.5,92000,28500,3,False,False,11.429554725537322
Patrol,Dammam,Nissan,Automatic,Saudi,Full,4.0,56000,225000,2,False,False,10.933124826700707
Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,3.8,165000,84000,6,False,False,12.013706813470414
Bus Urvan,Dammam,Nissan,Manual,Gulf Arabic,Full,2.7,2012,14500,12,False,False,7.607381425639791
Macan,Dammam,Porsche,Automatic,Saudi,Full,3.0,86000,158000,6,False,False,11.362114203075018
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2.4,78000,63000,4,False,False,11.264476926102367
Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2.4,65000,64000,4,False,False,11.082157933374816
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2.7,24552,76500,2,False,False,10.108589325349573
Rio,Dammam,Kia,Automatic,Saudi,Standard,1.4,154000,23000,6,False,False,11.944714374881176
Suburban,Dammam,Chevrolet,Automatic,Other,Full,5.3,192000,143000,6,False,False,12.165255859329688
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,3.5,126000,64000,6,False,False,11.744045122410057
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2.0,18197,53000,3,False,False,9.809066976916636
Yukon,Jeddah,GMC,Automatic,Saudi,Standard,5.3,379538,65000,12,False,False,12.846712637336095
Blazer,Abha,Chevrolet,Automatic,Other,Full,2.0,213000,13500,17,False,False,12.269052139516223
Yaris,Dammam,Toyota,Automatic,Saudi,Full,1.5,2100,50000,2,False,False,7.650168700845001
Innova,Tabouk,Toyota,Automatic,Saudi,Full,2.7,139400,58000,5,False,False,11.845109950883979
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2.7,74000,75000,2,False,False,11.211833885608513
Accent,Jeddah,Hyundai,Automatic,Saudi,Semi Full,1.4,174000,24000,5,False,False,12.066816325306588
IS,Riyadh,Lexus,Automatic,Saudi,Full,3.5,181000,60000,7,False,False,12.10625783509458
Hilux,Makkah,Toyota,Manual,Saudi,Standard,1.5,25788,30000,13,False,False,10.157703323404748
Yukon,Dammam,GMC,Automatic,Saudi,Standard,5.3,221000,30000,15,False,False,12.30592250537653
Caprice,Jeddah,Chevrolet,Automatic,Saudi,Standard,3.5,320000,27000,13,False,False,12.676079399771027
Taurus,Jeddah,Ford,Automatic,Saudi,Standard,3.5,63000,80000,4,False,False,11.050905878263567
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,3.5,136000,58000,6,False,False,11.820417517632333
Corolla,Khobar,Toyota,Automatic,Saudi,Semi Full,1.6,124000,40000,4,False,False,11.728044909070785
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,4.6,19400,215000,2,False,False,9.873079890114703
LX,Hail,Lexus,Automatic,Saudi,Full,5.7,460,46000,22,False,False,6.133398042996649
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Full,3.5,300,21000,16,False,False,5.707110264748875
Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,4.0,315,85000,6,False,False,5.755742213586912
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,3.5,59073,186500,5,False,False,10.986546174277471
CX3,Riyadh,Mazda,Automatic,Saudi,Standard,2.0,14501,66000,2,False,False,9.582041849931539
Rav4,Riyadh,Toyota,Automatic,Other,Full,2.5,61000,83000,4,False,False,11.0186455364637
Land Cruiser Pickup,Riyadh,Nissan,Automatic,Saudi,Full,4.8,44000,95000,6,False,False,10.691967639914864
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,3.5,91355,74500,4,False,False,11.422519241094212
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,1.5,30766,42000,3,False,False,10.33419796600033
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,5.3,107320,130000,6,False,False,11.583579622423843
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,5.3,146000,118000,6,False,False,11.891368749982085
H1,Jeddah,Hyundai,Automatic,Saudi,Standard,4.0,400000,43000,7,False,False,12.899222326086994
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,4.0,26000,235000,2,False,False,10.165890277802454
Traverse,Al-Medina,Chevrolet,Automatic,Saudi,Standard,3.6,22800,100000,2,False,False,10.034559673629849
Pajero,Khobar,Mitsubishi,Automatic,Saudi,Standard,3.5,264000,38000,7,False,False,12.483708170000067
Navara,Abha,Nissan,Manual,Saudi,Standard,2.5,119000,37000,7,False,False,11.686887175419702
FJ,Aseer,Toyota,Automatic,Gulf Arabic,Full,4.0,200000,88000,7,False,False,12.206077645517674
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2.5,42000,95000,4,False,False,10.645448706505872
Durango,Riyadh,Dodge,Automatic,Other,Semi Full,5.7,315,20000,10,False,False,5.755742213586912
LS,Riyadh,Lexus,Automatic,Saudi,Full,4.6,130000,75000,14,False,False,11.775297421715827
Azkarra,Qassim,Geely,Automatic,Saudi,Full,1.5,20000,78000,1,False,False,9.90353755128617
Avalon,Taef,Toyota,Automatic,Saudi,Full,3.5,180000,95000,5,False,False,12.100717685412471
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,3.5,176700,130000,6,False,False,12.082214317601338
Pathfinder,Al-Medina,Nissan,Automatic,Saudi,Semi Full,2.7,546473,14000,21,False,False,13.211242009986652
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,5.3,82011,146500,4,False,False,11.314620857002938
Caprice,Dammam,Chevrolet,Automatic,Saudi,Full,6.0,190000,50000,9,False,False,12.154784614286667
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2.7,123000,33000,8,False,False,11.719947764402807
